word,definition,examples,status,upvotes
cheugy,Uncool or out of date,"That meme is cheugy",approved,7
rizz,Charisma or charm,"He's got rizz.",approved,10
no-cap,Not lying; for real,"No cap, that was wild.",approved,3
mid,Just average or meh,"The movie was mid.",approved,5
sus,Suspicious or sketchy,"That deal sounds sus.",approved,9
bet,Agreement or affirmation,"You going tonight? Bet.",approved,4
vibe,Atmosphere or feeling,"This place has good vibes.",approved,6
salty,Annoyed or bitter,"He's salty about losing.",approved,5
drip,Stylish outfit or look,"Check his drip!",approved,8
ghost,Ignore someone suddenly,"He ghosted me after one date.",approved,4
lit,Exciting or awesome,"That concert was lit!",approved,11
simp,Someone who does too much for someone they like,"He's simping again.",approved,6
lowkey,Quietly or secretly,"I'm lowkey nervous about it.",approved,7
highkey,Openly or obviously,"I'm highkey obsessed with this song.",approved,6
flex,Show off or brag,"He's flexing his new car.",approved,9
tea,Gossip or truth,"Spill the tea!",approved,8
fire,Really good or cool,"That track is fire.",approved,10
cap,Lie or falsehood,"That's cap, bro.",approved,6
GOAT,Greatest of all time,"MJ is the GOAT.",approved,12
stan,Obsessive fan,"I stan that artist.",approved,5
yeet,Throw something with force or excitement,"He yeeted it across the room.",approved,8
slay,Do something exceptionally well,"She slayed that performance.",approved,9
snatched,Perfectly styled or on point,"Her outfit is snatched.",approved,7
bop,A catchy song,"That’s a total bop!",approved,8
shade,Subtle insult,"She threw shade during the meeting.",approved,5
pressed,Upset or annoyed,"Why you so pressed?",approved,4
thirsty,Desperate for attention,"He's acting thirsty online.",approved,6
extra,Over the top or dramatic,"She's so extra sometimes.",approved,5
finna,Fixing to; going to,"I'm finna leave soon.",approved,5
fit,Outfit,"Nice fit, bro.",approved,7
savage,Unapologetically bold,"That comeback was savage.",approved,9
ship,Support a relationship,"I ship them so hard.",approved,6
suspect,Untrustworthy,"That explanation sounds suspect.",approved,4
slaps,Really good (usually music),"This song slaps!",approved,9
bussin,Extremely good usually food,"This pizza is bussin.",approved,10
mood,Relatable feeling,"That meme is a whole mood.",approved,8
periodt,End of discussion,"I'm done arguing, periodt.",approved,7
receipts,Proof or evidence,"Show me the receipts!",approved,5
big-yikes,Cringe-worthy moment,"Big yikes on that comment.",approved,6
vibe-check,Assess someone's energy,"He failed the vibe check.",approved,5
dead,Finding something hilarious,"I'm dead!",approved,9
af,As f*** intensifier,"That’s funny af.",approved,8
bruh,Expression of disbelief,"Bruh, seriously?",approved,6
ok-boomer,Dismissive reply to older people,"Ok boomer.",approved,7
based,Confident in one’s beliefs,"That’s a based opinion.",approved,8
cringe,Embarrassing or awkward,"That TikTok was cringe.",approved,7
ratio,More likes than the original post,"Got ratioed on Twitter.",approved,6
main-character,Acting like the hero of life,"She’s got main character energy.",approved,5
betty,Attractive girl,"She’s such a betty.",approved,4
boomer,Old-fashioned person,"My dad’s a boomer.",approved,5
clapback,Witty response to criticism,"That was a savage clapback!",approved,7
dank,High quality (esp. memes),"That meme is dank.",approved,8
glow-up,Impressive transformation,"She had a major glow-up.",approved,9
grind,Hustle or work hard,"Back on my grind.",approved,5
hit-different,Feels unique or special,"This song hits different.",approved,7
hot-girl-summer,Confidence & fun season,"It’s hot girl summer!",approved,8
karen,Entitled middle-aged woman stereotype,"That customer was such a Karen.",approved,10
legit,Genuine or real,"That’s legit.",approved,5
meme-lord,Master of memes,"He’s the meme lord.",approved,4
noob,Beginner or inexperienced,"You’re such a noob.",approved,6
OG,Original or authentic,"He’s an OG player.",approved,7
squad,Group of friends,"Hanging with the squad.",approved,5
tbh,To be honest,"TBH, that was mid.",approved,4
tfw,That feeling when,"TFW it’s Friday.",approved,4
sus-af,Super suspicious,"That’s sus af.",approved,5
vibing,Feeling the mood,"Just vibing right now.",approved,6
weird-flex,Odd thing to brag about,"Weird flex but ok.",approved,7
yass,Expression of excitement,"Yass queen!",approved,8
zaddy,Attractive older man,"He’s a total zaddy.",approved,5
fomo,Fear of missing out,"Got FOMO from that party.",approved,5
jomo,Joy of missing out,"JOMO this weekend.",approved,4
irl,In real life,"Met him irl.",approved,3
stan-twt,Stan Twitter community,"That’s stan twt energy.",approved,4
ngl,Not gonna lie,"NGL, that was fun.",approved,5
idc,I don’t care,"IDC what they think.",approved,4
idk,I don’t know,"IDK about that.",approved,4
imo,In my opinion,"IMO that’s mid.",approved,3
lmao,Laughing hard,"LMAO that joke killed me.",approved,6
smh,Shaking my head,"SMH at this drama.",approved,5
rofl,Rolling on the floor laughing,"ROFL that clip!",approved,4
omg,Oh my god,"OMG stop!",approved,4
irl,In real life,"Met her irl finally.",approved,3
gl,Good luck,"GL with exams!",approved,2
gg,Good game,"GG easy.",approved,3
pog,Expression of excitement,"Pog moment!",approved,5
rekt,Destroyed or defeated,"Got rekt in that match.",approved,4
lag,Network delay,"My ping’s lagging.",approved,3
susy,Very suspicious,"That’s susy bro.",approved,4
no-chill,Overreacting or lacking restraint,"He’s got no chill.",approved,5
drama-llama,Person causing drama,"Don’t be a drama llama.",approved,5
clout,Influence or fame,"Doing it for clout.",approved,6
finsta,Private Instagram account,"Posted that on my finsta.",approved,5
cancelled,Rejected by public opinion,"That celeb is cancelled.",approved,6
snack,Attractive person,"He’s a snack!",approved,6
fit-check,Showing off outfit,"Fit check!",approved,7
moodboard,Inspiration collage,"Made a moodboard for my room.",approved,4
bounce,Leave quickly,"Time to bounce.",approved,3
catch-these-hands,Challenge to fight,"You gonna catch these hands.",approved,6
vibecheck,Assessing someone’s energy or attitude,"He failed the vibecheck.",approved,5
big-mood,Something highly relatable,"That post is a big mood.",approved,5
hot-mess,Chaotic but endearing person,"She’s a hot mess, but we love her.",approved,5
main-char-energy,Confidence like the hero of your own story,"She’s got main character energy.",approved,5
rent-free,Something you can’t stop thinking about,"That song lives rent-free in my head.",approved,7
situationship,Undefined romantic relationship,"We’re in a situationship, I guess.",approved,6
glow-down,Looking worse than before,"That actor had a glow-down.",approved,4
sneaky-link,Secret romantic meetup,"He’s my sneaky link.",approved,5
delulu,Being delusional in a funny way,"She’s delulu about her crush.",approved,6
beige-flag,Odd but harmless dating trait,"His beige flag is oversharing playlists.",approved,4
ick,Turnoff or cringe behavior,"His ick is loud chewing.",approved,5
npc,Person acting robotic or basic,"Everyone at the mall looked like NPCs.",approved,4
skibidi,Random absurd meme slang,"Skibidi toilet is everywhere.",approved,3
sigma,Self-reliant lone-wolf male archetype,"He’s got sigma energy.",approved,5
based-af,Very confident and unapologetic,"That take is based af.",approved,6
grippy-socks-hotel,Mental hospital joke slang,"She’s going back to the grippy socks hotel.",approved,3
gyatt,Slang for large butt,"She’s got a gyatt.",approved,4
aura,Personal vibe or energy,"His aura is unmatched.",approved,6
core,An aesthetic style suffix,"Cottagecore is trending.",approved,5
brainrot,Being obsessed with something,"TikTok gave me brainrot.",approved,5
gatekeep,To limit access to info or trends,"Don’t gatekeep the recipe!",approved,5
gaslight,Manipulate someone into questioning reality,"He gaslighted me about it.",approved,6
girlboss,Confident ambitious woman meme,"She’s a girlboss.",approved,5
malewife,Affectionate domestic man meme,"He’s such a malewife.",approved,4
pick-me,Person seeking validation by putting others down,"He’s a pick-me guy.",approved,4
slaps-hard,Extremely good song,"That beat slaps hard.",approved,7
cozy,Comfortable and pleasant vibe,"Cozy games are my jam.",approved,4
snatched-waist,Perfect figure,"Waist snatched!",approved,5
wholesome,Heartwarming or pure,"That dog video is wholesome.",approved,7
manifest,Visualize something into reality,"Manifesting good grades.",approved,6
doomscroll,Endlessly scrolling bad news,"Stop doomscrolling!",approved,5
touch-grass,Go outside and disconnect,"Bro needs to touch grass.",approved,6
unalive,Euphemism for death,"He tried to unalive himself.",approved,3
understood-the-assignment,Did a task perfectly,"She understood the assignment.",approved,7
rizzless,Lacking charisma,"He’s rizzless today.",approved,4
cooked,Exhausted or done for,"I’m cooked after finals.",approved,4
valid,Legit or respectable,"That’s a valid opinion.",approved,5
pop-off,Perform impressively,"She popped off on stage.",approved,5
out-of-pocket,Inappropriate or wild,"That joke was out of pocket.",approved,5
mid-af,Extremely mediocre,"That show was mid af.",approved,4
bozo,Foolish person,"You absolute bozo.",approved,5
broke-boy,Person with no money,"Don’t date broke boys.",approved,5
ate,Performed excellently,"She ate that routine.",approved,6
say-less,Acknowledgment without need for more words,"Say less, I’m in.",approved,4
sneaky-connection,Secret friend group drama,"They’ve got a sneaky connection.",approved,3
coquette,Flirty delicate aesthetic,"She’s going for the coquette look.",approved,4
soft-life,Comfort and ease lifestyle,"Living the soft life this year.",approved,5
hard-launch,Officially reveal relationship online,"They hard-launched on Instagram.",approved,5
situ-ship,Variant of situationship,"It’s a whole situ-ship.",approved,3
glazing,Overpraising someone excessively,"You’re glazing him too much.",approved,5
mewing,Jawline-shaping tongue posture trend,"He’s been mewing daily.",approved,4
npc-energy,Acting robotic or awkward,"That reply had NPC energy.",approved,4
fan-cam,Edit of a favorite celeb,"The fan cam is going viral.",approved,4
stan-account,Social account for idol worship,"Made a stan account for her.",approved,4
brain-empty,Feeling blank or done,"Brain empty, no thoughts.",approved,4
lore,Backstory of a person or meme,"The lore goes deep.",approved,5
canon,Official or true to story,"That’s not canon.",approved,4
delish,Very delicious,"That snack was delish.",approved,3
glitch,Error or bug,"Game glitch made me fly.",approved,4
main-squeeze,Significant other,"She’s my main squeeze.",approved,4
pov,Point of view meme format,"POV: you’re late again.",approved,5
slime,Bro or friend,"What’s good slime?",approved,3
suspect-behavior,Questionable actions,"That’s some suspect behavior.",approved,3
viral,Extremely popular online,"That dance went viral.",approved,6
cracked,Exceptionally skilled,"He’s cracked at Fortnite.",approved,5
low-effort,Minimal energy meme,"That’s low-effort content.",approved,3
carry,To lead a team to victory,"She carried the squad.",approved,5
throw-shade,Subtly insult,"Don’t throw shade.",approved,5
glow-core,Aesthetic focused on light and joy,"Her outfit is glowcore.",approved,3
rage-quit,Exit game angrily,"He rage-quit mid match.",approved,4
copium,False hope to cope,"Still on copium after the loss.",approved,5
hop-off,Stop criticizing,"Hop off my case.",approved,3
broke-core,Ironically poor aesthetic,"He’s in his broke-core era.",approved,3
era,Period defined by vibe,"In my healing era.",approved,4
looped,Stuck repeating content,"That sound is looped.",approved,2
pluh,Sound meme word,"Pluh moment.",approved,2
zoomie,Burst of energy,"My dog has the zoomies.",approved,4
memeable,Easily turned into meme,"That face is memeable.",approved,3
side-quest,Minor goal unrelated to main task,"Doing side quests all day.",approved,5
grippy-fit,Outfit with hospital socks joke,"That’s a grippy fit.",approved,2
sussy-baka,Playful insult combining sus & baka,"You sussy baka!",approved,4
core-memory,Unforgettable life moment,"That trip was a core memory.",approved,6
dripless,Lacking style,"Those shoes are dripless.",approved,3
npc-core,Style inspired by basic characters,"It’s giving NPC core.",approved,3
vibe-core,Aesthetic centered on mood,"Her room is pure vibe core.",approved,3
